Year,Storm ID,Storm Name,Category,State ,BASE,PL2018,CL2018
1950,1950_Baker,Baker,1,"AL,FL",,668652013,646922296
1950,1950_Easy,Easy,3,FL,"3,300,000",2246898463,1867258674
1950,1950_King,King,4,FL,"28,000,000",6756169482,5823791982
1952,1952_Able,Able,2,SC,"2,800,000",202785723,297824240
1953,1953_Barbara,Barbara,1,NC,"1,000,000",68430295,126738996
1953,1953_Florence,Florence,1,FL,"200,000",19871992,26367437
1953,1953_Hazel,Hazel,1,FL,,287312437,307539775
1954,1954_Carol,Carol,3,"NC,NY,CT,RI,MA","460,000,000",23540025329,22071729514
1954,1954_Edna,Edna,2,NC,"40,000,000",3825511241,2525303298
1954,1954_Hazel,Hazel,4,"SC,NC","281,000,000",33245843348,48532437524
1955,1955_Connie,Connie,2,"NC,VA","40,000,000",3563304190,6332668337
1955,1955_Ione,Ione,2,NC,"88,000,000",5578968250,10156912494
1956,1956_Flossy,Flossy,1,"LA,FL","25,000,000",598747783,765875806
1957,1957_Audrey,Audrey,3,"LA,TX","150,000,000",4547098823,4993973583
1958,1958_Helene,Helene,3,NC,"11,200,000",1006378202,1241800946
1959,1959_Cindy,Cindy,1,SC,,287312437,307539775
1959,1959_Debra,Debra,1,TX,"7,000,000",564817239,515079474
1959,1959_Gracie,Gracie,4,SC,"14,000,000",653340667,950573187
1960,1960_Donna,Donna,4,"FL,NC,VA,NY, CT, RI, MA","387,000,000",48392370612,54872508466
1960,1960_Ethel,Ethel,1,"LA,MS","1,000,000",39630416,48470703
1961,1961_Carla,Carla,4,TX,"400,000,000",25095759124,23311087241
1963,1963_Cindy,Cindy,1,TX,"13,000,000",383633932,373415026
1964,1964_Cleo,Cleo,2,FL,"128,000,000",7893909242,7240663404
1964,1964_Dora,Dora,2,FL,"250,000,000",12286599179,10941263622
1964,1964_Hilda,Hilda,3,LA,"125,000,000",3308030460,3806632277
1964,1964_Isabel,Isabel,2,FL,"10,000,000",1027526533,1033323823
1965,1965_Betsy,Betsy,3,"FL,LA","1,420,000,000",20513468517,27239464414
1966,1966_Alma,Alma,2,FL,"10,000,000",417692725,417315373
1966,1966_Inez,Inez,1,FL,"5,000,000",108995318,169288237
1967,1967_Beulah,Beulah,3,TX,"200,000,000",6317866988,6117748968
1968,1968_Gladys,Gladys,2,FL ,"7,000,000",1089756034,907501654
1969,1969_Camille,Camille,5,"LA, MS","1,421,000,000",26414019804,31551720879
1969,1969_Gerda,Gerda,1,ME,,287312437,307539775
1970,1970_Celia,Celia,3,TX,"454,000,000",8252290737,8910156004
1971,1971_Edith,Edith,2,LA,"25,000,000",352244329,385489810
1971,1971_Fern,Fern,1,TX,"30,000,000",489889575,534042203
1971,1971_Ginger,Ginger,1,NC,"10,000,000",247183166,342843867
1972,1972_Agnes,Agnes,1,"FL,MD,NY,PA,VA","2,000,000,000",26019943464,26905147913
1974,1974_Carmen,Carmen,3,LA,"150,000,000",1410764694,1594228142
1975,1975_Eloise,Eloise,3,"FL, AL","490,000,000",7747515932,10587199586
1976,1976_Belle,Belle,1,NY,"100,000,000",668652013,646922296
1977,1977_Babe,Babe,1,LA,"10,000,000",81444417,89438168
1979,1979_Bob,Bob,1,LA,"20,000,000",84079746,97575080
1979,1979_David,David,2,"FL,GA,SC","320,000,000",3866235032,3852716070
1979,1979_Frederic,Frederic,3,"AL,MS","2,300,000,000",15827205699,18636661732
1980,1980_Allen,Allen,3,TX,"300,000,000",2766227873,2703189630
1983,1983_Alicia,Alicia,3,TX,"2,000,000,000",13640282313,12762592265
1984,1984_Diana,Diana,2,NC,"65,000,000",557692363,591830553
1985,1985_Bob,Bob,1,SC,"25,000,000",215941565,250519964
1985,1985_Danny,Danny,1,LA,"50,000,000",188255730,191582495
1985,1985_Elena,Elena,3,"AL,MS,FL","1,250,000,000",4990180575,5459644788
1985,1985_Gloria,Gloria,3,"NC,NY,CT,NH,ME","900,000,000",3374797468,3416409046
1985,1985_Juan,Juan,1,LA,"1,500,000,000",5697252216,6172268756
1985,1985_Kate,Kate,2,"FL,GA","300,000,000",1644846703,1942010077
1986,1986_Bonnie,Bonnie,1,TX,"42,000,000",135795519,133529487
1986,1986_Charley,Charley,1,NC,"15,000,000",68180150,77700934
1987,1987_Floyd,Floyd,1,FL,"1,000,000",2785748,3436517
1988,1988_Florence,Florence,1,LA,"20,000,000",19271041,27866180
1989,1989_Chantal,Chantal,1,TX,"100,000,000",355110778,335562247
1989,1989_Hugo,Hugo,4,"SC,NC","7,000,000,000",25125082707,29182401805
1989,1989_Jerry,Jerry,1,TX,"70,000,000",287754382,273009654
1991,1991_Bob,Bob,2,"RI,MA,NY,CT","1,500,000,000",4346089591,4388208120
1992,1992_Andrew,Andrew,5,"FL,LA","31,500,000,000",106040315676,103889941134
1993,1993_Emily,Emily,3,NC,"35,000,000",126650339,135187859
1995,1995_Erin,Erin,1,FL,"700,000,000",2242896364,2396025119
1995,1995_Opal,Opal,3,"FL,AL","3,000,000,000",10048811036,11192070812
1996,1996_Bertha,Bertha,2,NC,"270,000,000",939131823,964662204
1996,1996_Fran,Fran,3,NC,"3,200,000,000",11130451232,11433033530
1997,1997_Danny,Danny,1,"LA, AL","100,000,000",252123244,269572654
1998,1998_Bonnie,Bonnie,2,NC,"720,000,000",2232127187,2259000933
1998,1998_Earl,Earl,1,FL,"79,000,000",203898110,227043185
1998,1998_Georges,Georges,2,"FL,MS","2,310,000,000",4546500713,4963461818
1999,1999_Bret,Bret,3,TX,"60,000,000",114507945,76830977
1999,1999_Floyd,Floyd,2,NC,"4,500,000,000",13941314363,13677533294
1999,1999_Irene,Irene,2,"FL,NC","800,000,000",1863482414,1840733998
2002,2002_Lili,Lili,1,LA,"860,000,000",1657826975,1670566645
2003,2003_Claudette,Claudette,1,TX,"180,000,000",287312437,307539775
2003,2003_Isabel,Isabel,2,NC,"3,370,000,000",6127338333,6306382609
2004,2004_Alex,Alex,1,NC,"4,000,000",6797795,7088809
2004,2004_Charley,Charley,4,"FL,SC","14,000,000,000",26932343549,27460765919
2004,2004_Frances,Frances,2,FL,"9,000,000,000",16482385793,16476581358
2004,2004_Gaston,Gaston,1,SC,"130,000,000",242825300,259351258
2004,2004_Ivan,Ivan,3,"AL,FL","14,200,000,000",25893348510,26850349084
2004,2004_Jeanne,Jeanne,3,FL,"6,900,000,000",13570831322,13899939110
2005,2005_Cindy,Cindy,1,LA,"320,000,000",422544556,431793237
2005,2005_Dennis,Dennis,3,"FL,AL","2,230,000,000",3542320160,3685848912
2005,2005_Katrina,Katrina,3,"FL,LA,MS,AL","82,200,000,000",116888574230,118825443322
2005,2005_Ophelia,Ophelia,1,NC,"1,600,000,000",2484301087,2521769392
2005,2005_Rita,Rita,3,"LA,TX","11,254,000,000",14893539790,14798423194
2005,2005_Wilma,Wilma,3,FL,"20,600,000,000",31907535239,31922162521
2007,2007_Humberto,Humberto,1,"TX,LA","75,000,000",99271720,98261584
2008,2008_Dolly,Dolly,1,TX,"1,050,000,000",1479682209,1411245880
2008,2008_Gustav,Gustav,2,LA,"4,300,000,000",5456056462,5422320570
2008,2008_Ike,Ike,2,"TX,LA","25,000,000,000",35152707968,34686138787
2011,2011_Irene,Irene,1,NC,"8,600,000,000",10794272712,10928324331
2012,2012_Isaac,Isaac,1,LA,"1,940,000,000",2359697891,2344120103
2012,2012_Sandy,Sandy,1,NY,"60,280,000,000",73490344205,72819173227
2014,2014_Arthur,Arthur,2,NC,"4,000,000",4589317,4576516
2016,2016_Hermine,Hermine,1,FL,"400,000,000",430160568,427701995
